
result: name0067 ---> mIoU=83.5778%, MSE=0.0096, mAcc=0.2307%, time=0.0060s
result: name0068 ---> mIoU=82.3965%, MSE=0.0067, mAcc=0.2320%, time=0.0060s
result: name0069 ---> mIoU=65.4000%, MSE=0.0045, mAcc=0.2238%, time=0.0060s
result: name0070 ---> mIoU=46.3220%, MSE=0.0152, mAcc=0.1696%, time=0.0050s
result: name0071 ---> mIoU=51.5472%, MSE=0.0173, mAcc=0.2429%, time=0.0070s
result: name0072 ---> mIoU=51.0765%, MSE=0.0209, mAcc=0.3034%, time=0.0070s
result: name0073 ---> mIoU=74.1207%, MSE=0.0399, mAcc=0.6066%, time=0.0070s
result: name0074 ---> mIoU=87.0609%, MSE=0.0055, mAcc=0.3403%, time=0.0060s
result: name0075 ---> mIoU=10.6825%, MSE=0.0360, mAcc=0.1636%, time=0.0050s
result: name0076 ---> mIoU=66.6872%, MSE=0.0851, mAcc=0.3726%, time=0.0060s
result: name0077 ---> mIoU=57.5859%, MSE=0.0080, mAcc=0.3407%, time=0.0070s
result: name0078 ---> mIoU=87.7198%, MSE=0.0228, mAcc=0.4955%, time=0.0070s
result: name0079 ---> mIoU=81.5544%, MSE=0.0104, mAcc=0.3962%, time=0.0070s
result: name0080 ---> mIoU=87.2878%, MSE=0.0074, mAcc=0.6686%, time=0.0070s
result: name0081 ---> mIoU=89.0421%, MSE=0.0076, mAcc=0.3866%, time=0.0069s
result: name0082 ---> mIoU=78.3383%, MSE=0.0076, mAcc=0.2809%, time=0.0060s
result: name0083 ---> mIoU=88.1754%, MSE=0.0071, mAcc=0.3218%, time=0.0060s
result: name0084 ---> mIoU=86.8740%, MSE=0.0074, mAcc=0.1988%, time=0.0050s
result: name0085 ---> mIoU=55.1225%, MSE=0.0037, mAcc=0.1923%, time=0.0060s
result: name0086 ---> mIoU=91.9201%, MSE=0.0156, mAcc=0.7053%, time=0.0070s
result: name0087 ---> mIoU=85.5150%, MSE=0.0035, mAcc=0.4183%, time=0.0070s
result: name0088 ---> mIoU=58.0747%, MSE=0.0924, mAcc=0.4821%, time=0.0080s
result: name0089 ---> mIoU=68.2247%, MSE=0.0515, mAcc=0.3472%, time=0.0060s
result: name0090 ---> mIoU=79.2774%, MSE=0.0063, mAcc=0.6815%, time=0.0070s
result: name0091 ---> mIoU=83.8413%, MSE=0.0399, mAcc=0.4586%, time=0.0060s
result: name0092 ---> mIoU=11.1260%, MSE=0.3650, mAcc=0.0812%, time=0.0060s
result: name0093 ---> mIoU=86.7855%, MSE=0.0050, mAcc=0.1912%, time=0.0060s
result: name0094 ---> mIoU=92.9635%, MSE=0.0022, mAcc=0.4105%, time=0.0060s
result: name0095 ---> mIoU=76.6756%, MSE=0.0108, mAcc=0.6966%, time=0.0070s
result: name0096 ---> mIoU=38.5491%, MSE=0.1116, mAcc=0.2010%, time=0.0070s
result: name0097 ---> mIoU=73.5399%, MSE=0.0048, mAcc=0.3882%, time=0.0060s
result: name0098 ---> mIoU=86.6556%, MSE=0.0026, mAcc=0.2902%, time=0.0060s
result: name0099 ---> mIoU=54.9538%, MSE=0.0121, mAcc=0.3139%, time=0.0070s
result: name0100 ---> mIoU=58.4280%, MSE=0.0429, mAcc=0.3158%, time=0.0070s
result: name0101 ---> mIoU=80.1758%, MSE=0.0083, mAcc=0.5000%, time=0.0070s
result: name0102 ---> mIoU=82.2638%, MSE=0.0050, mAcc=0.3093%, time=0.0070s
result: name0103 ---> mIoU=77.4035%, MSE=0.0055, mAcc=0.2993%, time=0.0070s
result: name0104 ---> mIoU=80.5035%, MSE=0.0052, mAcc=0.3725%, time=0.0070s
result: name0105 ---> mIoU=85.5315%, MSE=0.0172, mAcc=0.6080%, time=0.0070s
result: name0106 ---> mIoU=60.1995%, MSE=0.0128, mAcc=0.3601%, time=0.0070s
result: name0107 ---> mIoU=85.3558%, MSE=0.0118, mAcc=0.5724%, time=0.0070s
result: name0108 ---> mIoU=78.7493%, MSE=0.0057, mAcc=0.4131%, time=0.0520s
result: name0109 ---> mIoU=85.4289%, MSE=0.0147, mAcc=0.5179%, time=0.0060s
result: name0110 ---> mIoU=79.2064%, MSE=0.0393, mAcc=0.4663%, time=0.0080s
result: name0111 ---> mIoU=59.6861%, MSE=0.0455, mAcc=0.5019%, time=0.0070s
result: name0112 ---> mIoU=64.1075%, MSE=0.0220, mAcc=0.1974%, time=0.0060s
result: name0113 ---> mIoU=47.6351%, MSE=0.0100, mAcc=0.3736%, time=0.0060s
result: name0114 ---> mIoU=79.9896%, MSE=0.0066, mAcc=0.2915%, time=0.0060s
