
result: name0001 ---> mIoU=71.9688%, MSE=0.0122, mAcc=0.5622%, time=0.0210s
result: name0002 ---> mIoU=62.5128%, MSE=0.0062, mAcc=0.1730%, time=0.0100s
result: name0003 ---> mIoU=76.5280%, MSE=0.0166, mAcc=0.6437%, time=0.0070s
result: name0004 ---> mIoU=79.9414%, MSE=0.0293, mAcc=0.5255%, time=0.0070s
result: name0005 ---> mIoU=86.4728%, MSE=0.0077, mAcc=0.4928%, time=0.0060s
result: name0006 ---> mIoU=80.8531%, MSE=0.0165, mAcc=0.3465%, time=0.0060s
result: name0007 ---> mIoU=84.8057%, MSE=0.0099, mAcc=0.6223%, time=0.0070s
result: name0008 ---> mIoU=90.2859%, MSE=0.0038, mAcc=0.3050%, time=0.0060s
result: name0009 ---> mIoU=91.0603%, MSE=0.0039, mAcc=0.3042%, time=0.0060s
result: name0010 ---> mIoU=51.0680%, MSE=0.0144, mAcc=0.1283%, time=0.0070s
result: name0011 ---> mIoU=73.5770%, MSE=0.0121, mAcc=0.3697%, time=0.0070s
result: name0012 ---> mIoU=54.7945%, MSE=0.0074, mAcc=0.2843%, time=0.0060s
result: name0013 ---> mIoU=94.8334%, MSE=0.0060, mAcc=0.6140%, time=0.0070s
result: name0014 ---> mIoU=67.6889%, MSE=0.0288, mAcc=0.3466%, time=0.0070s
result: name0015 ---> mIoU=76.5284%, MSE=0.0100, mAcc=0.3596%, time=0.0070s
result: name0016 ---> mIoU=89.7561%, MSE=0.0090, mAcc=0.3690%, time=0.0070s
result: name0017 ---> mIoU=77.5928%, MSE=0.0048, mAcc=0.4624%, time=0.0070s
result: name0018 ---> mIoU=92.7286%, MSE=0.0026, mAcc=0.3315%, time=0.0060s
result: name0019 ---> mIoU=76.3446%, MSE=0.0207, mAcc=0.6274%, time=0.0070s
result: name0020 ---> mIoU=80.8871%, MSE=0.0173, mAcc=0.4183%, time=0.0070s
result: name0021 ---> mIoU=91.8265%, MSE=0.0209, mAcc=0.7037%, time=0.0070s
result: name0022 ---> mIoU=89.6350%, MSE=0.0040, mAcc=0.3858%, time=0.0070s
result: name0023 ---> mIoU=70.8045%, MSE=0.0136, mAcc=0.4441%, time=0.0060s
result: name0024 ---> mIoU=41.8037%, MSE=0.0490, mAcc=0.1702%, time=0.0060s
result: name0025 ---> mIoU=38.4281%, MSE=0.0242, mAcc=0.1942%, time=0.0060s
result: name0026 ---> mIoU=80.6462%, MSE=0.0055, mAcc=0.2487%, time=0.0060s
result: name0027 ---> mIoU=91.0188%, MSE=0.0081, mAcc=0.4901%, time=0.0080s
result: name0028 ---> mIoU=73.0324%, MSE=0.0045, mAcc=0.2795%, time=0.0070s
result: name0029 ---> mIoU=79.4407%, MSE=0.0138, mAcc=0.2432%, time=0.0070s
result: name0030 ---> mIoU=76.3095%, MSE=0.0186, mAcc=0.4501%, time=0.0080s
result: name0031 ---> mIoU=89.6721%, MSE=0.0043, mAcc=0.3647%, time=0.0070s
result: name0032 ---> mIoU=86.1884%, MSE=0.0124, mAcc=0.5037%, time=0.0070s
result: name0033 ---> mIoU=87.8627%, MSE=0.0171, mAcc=0.5282%, time=0.0070s
result: name0034 ---> mIoU=63.1502%, MSE=0.0392, mAcc=0.4660%, time=0.0060s
result: name0035 ---> mIoU=87.2139%, MSE=0.0033, mAcc=0.2471%, time=0.0060s
result: name0036 ---> mIoU=60.9153%, MSE=0.0114, mAcc=0.2816%, time=0.0065s
result: name0037 ---> mIoU=47.5091%, MSE=0.0863, mAcc=0.3329%, time=0.0070s
result: name0038 ---> mIoU=74.9371%, MSE=0.0133, mAcc=0.4298%, time=0.0080s
result: name0039 ---> mIoU=84.4014%, MSE=0.0121, mAcc=0.6898%, time=0.0080s
result: name0040 ---> mIoU=66.3014%, MSE=0.0094, mAcc=0.3018%, time=0.0060s
result: name0041 ---> mIoU=72.5922%, MSE=0.0150, mAcc=0.4102%, time=0.0060s
result: name0042 ---> mIoU=87.6574%, MSE=0.0112, mAcc=0.3213%, time=0.0060s
result: name0043 ---> mIoU=81.9071%, MSE=0.0057, mAcc=0.3790%, time=0.0070s
result: name0044 ---> mIoU=79.1121%, MSE=0.0179, mAcc=0.5490%, time=0.0070s
result: name0045 ---> mIoU=98.2761%, MSE=0.0016, mAcc=0.7467%, time=0.0060s
result: name0046 ---> mIoU=78.0997%, MSE=0.0300, mAcc=0.4043%, time=0.0070s
result: name0047 ---> mIoU=78.2017%, MSE=0.0062, mAcc=0.3736%, time=0.0070s
result: name0048 ---> mIoU=78.2092%, MSE=0.0170, mAcc=0.3486%, time=0.0060s
result: name0049 ---> mIoU=76.1536%, MSE=0.0104, mAcc=0.4234%, time=0.0080s
result: name0050 ---> mIoU=83.8970%, MSE=0.0113, mAcc=0.3750%, time=0.0070s
result: name0051 ---> mIoU=80.3300%, MSE=0.0076, mAcc=0.3682%, time=0.0060s
result: name0052 ---> mIoU=91.4728%, MSE=0.0014, mAcc=0.3747%, time=0.0070s
result: name0053 ---> mIoU=57.1588%, MSE=0.0039, mAcc=0.3413%, time=0.0070s
result: name0054 ---> mIoU=88.0066%, MSE=0.0101, mAcc=0.4982%, time=0.0070s
result: name0055 ---> mIoU=90.3469%, MSE=0.0060, mAcc=0.4320%, time=0.0070s
result: name0056 ---> mIoU=87.2739%, MSE=0.0252, mAcc=0.6829%, time=0.0070s
result: name0057 ---> mIoU=67.7343%, MSE=0.0195, mAcc=0.3291%, time=0.0060s
result: name0058 ---> mIoU=67.1145%, MSE=0.0389, mAcc=0.1966%, time=0.0060s
result: name0059 ---> mIoU=71.9481%, MSE=0.0111, mAcc=0.4748%, time=0.0070s
result: name0060 ---> mIoU=77.0810%, MSE=0.0237, mAcc=0.4534%, time=0.0070s
result: name0061 ---> mIoU=72.4658%, MSE=0.0045, mAcc=0.2250%, time=0.0060s
result: name0062 ---> mIoU=89.4495%, MSE=0.0036, mAcc=0.4517%, time=0.0060s
result: name0063 ---> mIoU=82.1659%, MSE=0.0036, mAcc=0.3964%, time=0.0060s
result: name0064 ---> mIoU=76.4133%, MSE=0.0059, mAcc=0.4524%, time=0.0070s
result: name0065 ---> mIoU=79.9090%, MSE=0.0043, mAcc=0.2162%, time=0.0060s
result: name0066 ---> mIoU=70.3135%, MSE=0.0036, mAcc=0.3216%, time=0.0060s
result: name0067 ---> mIoU=45.9331%, MSE=0.0181, mAcc=0.3190%, time=0.0060s
result: name0068 ---> mIoU=79.0379%, MSE=0.0051, mAcc=0.3595%, time=0.0070s
