
result: name0001 ---> mIoU=82.1442%, MSE=0.0041, mAcc=0.3143%, time=0.0200s
result: name0002 ---> mIoU=84.4022%, MSE=0.0084, mAcc=0.4608%, time=0.0120s
result: name0003 ---> mIoU=84.6397%, MSE=0.0111, mAcc=0.6765%, time=0.0080s
result: name0004 ---> mIoU=70.8628%, MSE=0.0176, mAcc=0.3823%, time=0.0070s
result: name0005 ---> mIoU=71.3939%, MSE=0.0169, mAcc=0.3825%, time=0.0060s
result: name0006 ---> mIoU=83.6342%, MSE=0.0027, mAcc=0.3932%, time=0.0070s
result: name0007 ---> mIoU=66.0174%, MSE=0.0080, mAcc=0.5153%, time=0.0070s
result: name0008 ---> mIoU=77.9719%, MSE=0.0339, mAcc=0.4547%, time=0.0070s
result: name0009 ---> mIoU=74.2673%, MSE=0.0354, mAcc=0.4624%, time=0.0070s
result: name0010 ---> mIoU=85.1069%, MSE=0.0043, mAcc=0.1987%, time=0.0060s
result: name0011 ---> mIoU=92.9194%, MSE=0.0108, mAcc=0.5185%, time=0.0060s
result: name0012 ---> mIoU=93.3037%, MSE=0.0017, mAcc=0.2939%, time=0.0070s
result: name0013 ---> mIoU=48.4333%, MSE=0.0145, mAcc=0.6277%, time=0.0070s
result: name0014 ---> mIoU=78.1245%, MSE=0.0082, mAcc=0.4998%, time=0.0070s
result: name0015 ---> mIoU=68.2675%, MSE=0.0265, mAcc=0.5658%, time=0.0070s
result: name0016 ---> mIoU=56.0372%, MSE=0.0140, mAcc=0.4669%, time=0.0070s
result: name0017 ---> mIoU=65.2804%, MSE=0.0154, mAcc=0.2760%, time=0.0070s
result: name0018 ---> mIoU=83.9903%, MSE=0.0044, mAcc=0.3050%, time=0.0060s
result: name0019 ---> mIoU=68.7596%, MSE=0.0182, mAcc=0.3472%, time=0.0070s
result: name0020 ---> mIoU=76.4160%, MSE=0.0067, mAcc=0.3301%, time=0.0070s
result: name0021 ---> mIoU=89.0550%, MSE=0.0051, mAcc=0.4339%, time=0.0070s
result: name0022 ---> mIoU=83.1316%, MSE=0.0130, mAcc=0.6142%, time=0.0070s
result: name0023 ---> mIoU=85.1793%, MSE=0.0062, mAcc=0.4240%, time=0.0070s
result: name0024 ---> mIoU=77.4978%, MSE=0.0046, mAcc=0.3716%, time=0.0060s
result: name0025 ---> mIoU=83.4382%, MSE=0.0033, mAcc=0.3439%, time=0.0070s
result: name0026 ---> mIoU=76.0882%, MSE=0.0154, mAcc=0.3113%, time=0.0060s
result: name0027 ---> mIoU=62.3954%, MSE=0.0056, mAcc=0.1772%, time=0.0070s
result: name0028 ---> mIoU=95.9798%, MSE=0.0303, mAcc=0.7408%, time=0.0070s
result: name0029 ---> mIoU=75.4121%, MSE=0.0059, mAcc=0.4927%, time=0.0070s
result: name0030 ---> mIoU=89.2315%, MSE=0.0036, mAcc=0.4246%, time=0.0070s
result: name0031 ---> mIoU=79.4273%, MSE=0.0081, mAcc=0.6936%, time=0.0070s
result: name0032 ---> mIoU=87.9402%, MSE=0.0042, mAcc=0.3988%, time=0.0060s
result: name0033 ---> mIoU=86.2697%, MSE=0.0152, mAcc=0.5640%, time=0.0070s
result: name0034 ---> mIoU=79.4165%, MSE=0.0305, mAcc=0.4826%, time=0.0070s
result: name0035 ---> mIoU=91.9469%, MSE=0.0054, mAcc=0.5788%, time=0.0060s
result: name0036 ---> mIoU=89.4214%, MSE=0.0176, mAcc=0.5770%, time=0.0060s
result: name0037 ---> mIoU=88.9506%, MSE=0.0054, mAcc=0.4477%, time=0.0070s
result: name0038 ---> mIoU=89.6358%, MSE=0.0019, mAcc=0.2964%, time=0.0060s
result: name0039 ---> mIoU=81.2652%, MSE=0.0013, mAcc=0.4469%, time=0.0060s
result: name0040 ---> mIoU=84.7289%, MSE=0.0158, mAcc=0.5236%, time=0.0060s
result: name0041 ---> mIoU=92.8142%, MSE=0.0033, mAcc=0.4344%, time=0.0070s
result: name0042 ---> mIoU=48.8400%, MSE=0.0779, mAcc=0.2157%, time=0.0070s
result: name0043 ---> mIoU=73.4440%, MSE=0.0243, mAcc=0.3039%, time=0.0080s
result: name0044 ---> mIoU=84.7911%, MSE=0.0087, mAcc=0.3443%, time=0.0060s
result: name0045 ---> mIoU=76.2193%, MSE=0.0071, mAcc=0.2040%, time=0.0060s
result: name0046 ---> mIoU=86.5399%, MSE=0.0026, mAcc=0.3771%, time=0.0090s
result: name0047 ---> mIoU=86.6303%, MSE=0.0117, mAcc=0.4508%, time=0.0080s
result: name0048 ---> mIoU=78.5515%, MSE=0.0059, mAcc=0.4004%, time=0.0070s
result: name0049 ---> mIoU=85.3034%, MSE=0.0121, mAcc=0.5713%, time=0.0060s
result: name0050 ---> mIoU=84.7574%, MSE=0.0097, mAcc=0.7141%, time=0.0080s
result: name0051 ---> mIoU=81.3291%, MSE=0.0054, mAcc=0.3901%, time=0.0070s
result: name0052 ---> mIoU=92.9693%, MSE=0.0051, mAcc=0.3873%, time=0.0070s
result: name0053 ---> mIoU=88.7634%, MSE=0.0046, mAcc=0.2352%, time=0.0060s
result: name0054 ---> mIoU=71.5228%, MSE=0.0179, mAcc=0.2941%, time=0.0070s
result: name0055 ---> mIoU=84.0087%, MSE=0.0048, mAcc=0.4144%, time=0.0070s
result: name0056 ---> mIoU=27.9363%, MSE=0.0391, mAcc=0.2681%, time=0.0070s
result: name0057 ---> mIoU=82.2030%, MSE=0.0222, mAcc=0.5046%, time=0.0070s
result: name0058 ---> mIoU=89.6457%, MSE=0.0028, mAcc=0.4678%, time=0.0070s
result: name0059 ---> mIoU=42.7889%, MSE=0.0402, mAcc=0.1623%, time=0.0060s
result: name0060 ---> mIoU=67.8435%, MSE=0.0065, mAcc=0.4122%, time=0.0060s
result: name0061 ---> mIoU=47.7406%, MSE=0.0391, mAcc=0.2210%, time=0.0070s
result: name0062 ---> mIoU=58.4426%, MSE=0.0119, mAcc=0.2710%, time=0.0070s
result: name0063 ---> mIoU=85.9921%, MSE=0.0026, mAcc=0.2666%, time=0.0060s
result: name0064 ---> mIoU=86.7092%, MSE=0.0049, mAcc=0.4863%, time=0.0060s
